student_names,Marks,Email,FirstChoice,SecondChoice,ThirdChoice,ForthChoice,FifthChoice,SixthChoice,SeventhChoice,EightChoice,Subject
Student1,98,student1@gmail.com,Mathematics,Physics,Chemistry,Biology,History,English,Geography,ComputerScience,Mathematics
Student2,85,student2@gmail.com,Chemistry,Mathematics,Physics,Biology,History,Physics,English,Geography,Physics
Student3,73,student3@gmail.com,Physics,Mathematics,Chemistry,History,Biology,ComputerScience,Geography,English,Chemistry
Student4,91,student4@gmail.com,Mathematics,Physics,Chemistry,Biology,Biology,Mathematics,Geography,ComputerScience,Biology
Student5,65,student5@gmail.com,Physics,Chemistry,History,Mathematics,Geography,Chemistry,English,Geography,History
Student6,77,student6@gmail.com,Mathematics,Chemistry,Physics,Biology,History,Chemistry,ComputerScience,Geography,Geography
Student7,89,student7@gmail.com,Physics,Chemistry,Mathematics,Biology,History,Physics,English,ComputerScience,English
Student8,92,student8@gmail.com,Chemistry,Physics,History,Mathematics,Mathematics,Mathematics,Geography,Geography,ComputerScience
Student9,78,student9@gmail.com,History,Mathematics,Biology,Physics,ComputerScience,Physics,English,History,
Student10,96,student10@gmail.com,Physics,Mathematics,History,Chemistry,Chemistry,Mathematics,Geography,ComputerScience,
Student11,81,student11@gmail.com,Mathematics,Chemistry,Physics,History,Biology,Physics,ComputerScience,Geography,
Student12,88,student12@gmail.com,Chemistry,Physics,Biology,Mathematics,History,Physics,English,ComputerScience,
Student13,94,student13@gmail.com,Physics,Chemistry,Mathematics,Biology,Geography,Chemistry,Geography,History,
Student14,70,student14@gmail.com,Chemistry,Physics,Mathematics,Chemistry,History,Physics,ComputerScience,Geography,
Student15,85,student15@gmail.com,Mathematics,History,Physics,Biology,ComputerScience,Mathematics,English,ComputerScience,
Student16,90,student16@gmail.com,History,Biology,Chemistry,Physics,Physics,History,Geography,English,
Student17,75,student17@gmail.com,Biology,Biology,History,Physics,History,Chemistry,ComputerScience,History,
Student18,82,student18@gmail.com,Mathematics,Physics,Chemistry,Physics,Physics,Physics,Geography,English,
Student19,93,student19@gmail.com,Biology,History,Chemistry,Geography,Geography,Mathematics,ComputerScience,ComputerScience,
Student20,87,student20@gmail.com,Physics,Mathematics,Biology,History,History,Chemistry,Geography,Geography,
Student21,88,student21@gmail.com,Biology,Mathematics,Biology,Geography,Biology,Physics,English,History,
Student22,79,student22@gmail.com,Geography,ComputerScience,Mathematics,Chemistry,Geography,ComputerScience,ComputerScience,Geography,
Student23,84,student23@gmail.com,English,Biology,Biology,History,Physics,Mathematics,Geography,English,
Student24,76,student24@gmail.com,Physics,English,History,Mathematics,Biology,ComputerScience,English,Geography,
Student25,95,student25@gmail.com,Biology,ComputerScience,Physics,ComputerScience,ComputerScience,Geography,Geography,History,
Student26,83,student26@gmail.com,ComputerScience,Biology,ComputerScience,Physics,English,English,English,English,
Student27,89,student27@gmail.com,Geography,Geography,English,History,Geography,Chemistry,ComputerScience,History,
Student28,92,student28@gmail.com,English,English,History,Physics,ComputerScience,Mathematics,Geography,English,
Student29,80,student29@gmail.com,ComputerScience,Physics,Geography,Geography,English,Geography,History,Geography,
Student30,97,student30@gmail.com,History,Chemistry,ComputerScience,English,Geography,Biology,ComputerScience,ComputerScience,
Student31,82,student31@gmail.com,Geography,Geography,History,Physics,English,Physics,Geography,Geography,
Student32,88,student32@gmail.com,Physics,Biology,ComputerScience,Chemistry,ComputerScience,Geography,ComputerScience,ComputerScience,
Student33,94,student33@gmail.com,English,Geography,Biology,Geography,Geography,History,English,Geography,
Student34,70,student34@gmail.com,ComputerScience,ComputerScience,Physics,Mathematics,English,ComputerScience,Geography,ComputerScience,
Student35,85,student35@gmail.com,Mathematics,ComputerScience,Chemistry,English,ComputerScience,English,ComputerScience,English,
Student36,90,student36@gmail.com,English,Physics,ComputerScience,ComputerScience,Geography,Chemistry,English,Geography,
Student37,75,student37@gmail.com,Mathematics,ComputerScience,Geography,Geography,History,Physics,Geography,ComputerScience,
Student38,82,student38@gmail.com,Geography,Chemistry,English,Biology,ComputerScience,Biology,History,English,
Student39,93,student39@gmail.com,Biology,Mathematics,ComputerScience,Physics,Geography,Chemistry,ComputerScience,Geography,
Student40,87,student40@gmail.com,ComputerScience,ComputerScience,Mathematics,ComputerScience,English,Geography,Geography,History,
Student41,88,student41@gmail.com,History,English,Biology,Physics,ComputerScience,History,History,ComputerScience,
Student42,79,student42@gmail.com,Physics,History,Physics,History,Geography,English,ComputerScience,Geography,
Student43,84,student43@gmail.com,ComputerScience,Geography,History,Biology,English,ComputerScience,Geography,History,
Student44,76,student44@gmail.com,Biology,History,Geography,English,ComputerScience,Chemistry,History,ComputerScience,
Student45,95,student45@gmail.com,Geography,ComputerScience,English,Physics,Geography,Physics,ComputerScience,Geography,
Student46,83,student46@gmail.com,English,Geography,Chemistry,Geography,History,ComputerScience,English,History,
Student47,89,student47@gmail.com,Physics,ComputerScience,Physics,Mathematics,Geography,History,Geography,ComputerScience,
Student48,92,student48@gmail.com,Chemistry,Physics,ComputerScience,History,English,Geography,ComputerScience,English,
Student49,80,student49@gmail.com,ComputerScience,Biology,Biology,Physics,ComputerScience,,English,Geography,
Student50,97,student50@gmail.com,Geography,Mathematics,English,Physics,History,Chemistry,Biology,ComputerScience,
Student51,50,student51@gmail.com,Geography,Geography,Mathematics,Geography,History,History,Biology,ComputerScience,
Student52,75,student52@gmail.com,History,History,History,History,Geography,Mathematics,Physics,Chemistry,
